"","year","state","district","candidate","party","candidatevotes","totalvotes"
"24760",2012,"New Hampshire",1,"scatter","",192,345022
"24761",2012,"New Hampshire",1,"Brendan Kelly","libertarian",14521,345022
"24762",2012,"New Hampshire",2,"scatter","",206,337394
"24763",2012,"New Hampshire",2,"Ann McLane Kuster","democrat",169275,337394
"24764",2012,"New Hampshire",2,"Charles F. Bass","republican",152977,337394
"24765",2012,"New Hampshire",2,"Hardy Macia","libertarian",14936,337394
"24766",2012,"New Jersey",1,"Gregory W. Horton","republican",92459,308519
"24767",2012,"New Jersey",1,"Robert E. Andrews","democrat",210470,308519
"24768",2012,"New Jersey",1,"Margaret Chapman","reform",1177,308519
"24769",2012,"New Jersey",1,"John William Reitter","green",4413,308519
"24770",2012,"New Jersey",2,"David W. Bowen, Sr.","the people's agenda",1010,289069
"24771",2012,"New Jersey",2,"Cassandra Shober","democrat",116462,289069
"24772",2012,"New Jersey",2,"John Ordille","libertarian",2699,289069
"24773",2012,"New Jersey",2,"Frank A. LoBiondo","republican",166677,289069
"24774",2012,"New Jersey",2,"Charles Lukens","constitutional conservative",1329,289069
"24775",2012,"New Jersey",2,"Frank Faralli, Jr.","conservative, compassionate, creative",892,289069
"24776",2012,"New Jersey",3,"Robert Shapiro","bob?s for jobs",1104,324399
"24777",2012,"New Jersey",3,"Jon Runyan","republican",174253,324399
"24778",2012,"New Jersey",3,"Frederick John Lavergne","no slogan",770,324399
"24779",2012,"New Jersey",3,"Shelley Adler","democrat",145506,324399
"24780",2012,"New Jersey",3,"Robert Edward Forchion","legalize marijuana",1956,324399
"24781",2012,"New Jersey",3,"Robert Witterschein","none of them",530,324399
"24782",2012,"New Jersey",3,"Christopher G. Dennick, Jr.","no slogan",280,324399
"24783",2012,"New Jersey",4,"Brian P. Froelich","democrat",107991,306247
"24784",2012,"New Jersey",4,"Leonard P. Marshall","no slogan",3111,306247
"24785",2012,"New Jersey",4,"Christopher H. Smith","republican",195145,306247
"24786",2012,"New Jersey",5,"Patricia Alessandrini","green",6770,304371
"24787",2012,"New Jersey",5,"Scott Garrett","republican",167501,304371
"24788",2012,"New Jersey",5,"Adam Gussen","democrat",130100,304371
"24789",2012,"New Jersey",6,"Mac Dara Lyden","independent",830,239638
"24790",2012,"New Jersey",6,"Anna Little","republican",84360,239638
"24791",2012,"New Jersey",6,"Len Flynn","libertarian",1392,239638
"24792",2012,"New Jersey",6,"Karen Zaletel","overthrow all incumbents",868,239638
"24793",2012,"New Jersey",6,"Frank Pallone, Jr.","democrat",151782,239638
"24794",2012,"New Jersey",6,"Herbert L. Tarbous","reform",406,239638
"24795",2012,"New Jersey",7,"Upendra J. Chivukula","democrat",123057,307315
"24796",2012,"New Jersey",7,"Patrick McKnight","libertarian",4078,307315
"24797",2012,"New Jersey",7,"Leonard Lance","republican",175662,307315
"24798",2012,"New Jersey",7,"Dennis A. Breen","independent reform candidate",4518,307315
"24799",2012,"New Jersey",8,"Albio Sires","democrat",130853,167790
"24800",2012,"New Jersey",8,"Maria Karczewski","republican",31763,167790
"24801",2012,"New Jersey",8,"Pablo Olivera","unity is strength",1625,167790
"24802",2012,"New Jersey",8,"Stephen Deluca","restoring america?s promise",1710,167790
"24803",2012,"New Jersey",8,"Herbert H. Shaw","politicians are crooks",1839,167790
"24804",2012,"New Jersey",9,"Bill Pascrell, Jr.","democrat",162822,220133
"24805",2012,"New Jersey",9,"Shmuley Boteach","republican",55091,220133
"24806",2012,"New Jersey",9,"Jeanette Woolsey","constitution",1082,220133
"24807",2012,"New Jersey",9,"E. David Smith","abundant america",1138,220133
"24808",2012,"New Jersey",10,"Joanne Miller","change, change, change",3127,230060
"24809",2012,"New Jersey",10,"Brian C. Kelemen","republican",24271,230060
"24810",2012,"New Jersey",10,"Donald M. Payne, Jr.","democrat",201435,230060
"24811",2012,"New Jersey",10,"Mick Erickson","libertarian",1227,230060
"24812",2012,"New Jersey",11,"Rodney P. Frelinghuysen","republican",182237,309859
"24813",2012,"New Jersey",11,"John Arvanites","democrat",123897,309859
"24814",2012,"New Jersey",11,"Barry Berlin","opposing congressional gridlock",3725,309859
"24815",2012,"New Jersey",12,"Eric A. Beck","republican",80906,274378
"24816",2012,"New Jersey",12,"Kenneth J. Cody","truth vision hope",1285,274378
"24817",2012,"New Jersey",12,"Jack Freudenheim","independent",2261,274378
"24818",2012,"New Jersey",12,"Rush D. Holt","democrat",189926,274378
"24819",2012,"New Mexico",1,"Janice E. Arnold-Jones","republican",112473,275856
"24820",2012,"New Mexico",1,"Michelle Lujan Grisham","democrat",162924,275856
"24821",2012,"New Mexico",1,NA,NA,459,275856
"24822",2012,"New Mexico",2,NA,NA,173,225515
"24823",2012,"New Mexico",2,"Evelyn Madrid Erhard","democrat",92162,225515
"24824",2012,"New Mexico",2,"Steven Pearce","republican",133180,225515
"24825",2012,"New Mexico",3,"Jefferson L. Byrd","republican",97616,264719
"24826",2012,"New Mexico",3,"Ben Bay Luj_n","democrat",167103,264719
"24827",2012,"New York",1,"Blank Vote/Void Vote/Scattering","",17730,294578
"24828",2012,"New York",1,"Randy Altschuler","republican",106678,294578
"24829",2012,"New York",1,"Randy Altschuler","conservative",20053,294578
"24830",2012,"New York",1,"Timothy H. Bishop","democrat",134205,294578
"24831",2012,"New York",1,"Randy Altschuler","independence",4919,294578
"24832",2012,"New York",1,"Timothy H. Bishop","working families",10993,294578
"24833",2012,"New York",2,"Peter T. King","independence",6402,271832
"24834",2012,"New York",2,"Vivianne C. Falcone","working families",6580,271832
"24835",2012,"New York",2,"Vivianne C. Falcone","democrat",93375,271832
"24836",2012,"New York",2,"Blank Vote/Void Vote/Scattering","",29927,271832
"24837",2012,"New York",2,"Peter T. King","conservative",19465,271832
"24838",2012,"New York",2,"Peter T. King","republican",116083,271832
"24839",2012,"New York",3,"Steve Israel","working families",6491,306274
"24840",2012,"New York",3,"Steve Israel","independence",5095,306274
"24841",2012,"New York",3,"Anthony Tolda","constitution",366,306274
"24842",2012,"New York",3,"Michael McDermott","libertarian",1641,306274
"24843",2012,"New York",3,"Steve Israel","democrat",146016,306274
"24844",2012,"New York",3,"Stephen A. Labate","republican",98455,306274
"24845",2012,"New York",3,"Stephen A. Labate","conservative",14566,306274
"24846",2012,"New York",3,"Blank Vote/Void Vote/Scattering","",33644,306274
"24847",2012,"New York",4,"Carolyn McCarthy","independence",3893,299484
"24848",2012,"New York",4,"Blank Vote/Void Vote/Scattering","",34233,299484
"24849",2012,"New York",4,"Francis X. Becker","tax revolt",711,299484
"24850",2012,"New York",4,"Francis X. Becker","republican",84982,299484
"24851",2012,"New York",4,"Carolyn McCarthy","democrat",152590,299484
"24852",2012,"New York",4,"Frank J. Scaturro","conservative",15603,299484
"24853",2012,"New York",4,"Carolyn McCarthy","working families",7472,299484
"24854",2012,"New York",5,"Catherine Wark","libertarian",1345,224508
"24855",2012,"New York",5,"Blank Vote/Void Vote/Scattering","",37453,224508
"24856",2012,"New York",5,"Gregory W. Meeks","democrat",167835,224508
"24857",2012,"New York",5,"Allan W. Jennings","republican",17875,224508
"24858",2012,"New York",6,"Grace Meng","working families",3994,186932
"24859",2012,"New York",6,"Daniel J. Halloran","republican",45992,186932
"24860",2012,"New York",6,"Evergreen C. Chou","green",1913,186932
"24861",2012,"New York",6,"Daniel J. Halloran","conservative",4853,186932
"24862",2012,"New York",6,"Blank Vote/Void Vote/Scattering","",22675,186932
"24863",2012,"New York",6,"Grace Meng","democrat",107505,186932
"24864",2012,"New York",7,"Blank Vote/Void Vote/Scattering","",29692,178825
"24865",2012,"New York",7,"Nydia M. Vela?zquez","working families",8866,178825
"24866",2012,"New York",7,"Nydia M. Vela?zquez","democrat",132456,178825
"24867",2012,"New York",7,"James Murray","conservative",7811,178825
"24868",2012,"New York",8,"Blank Vote/Void Vote/Scattering","",32163,236292
"24869",2012,"New York",8,"Hakeem S. Jeffries","working families",5351,236292
"24870",2012,"New York",8,"Hakeem S. Jeffries","democrat",178687,236292
"24871",2012,"New York",8,"Alan S. Bellone","republican",15841,236292
"24872",2012,"New York",8,"Alan S. Bellone","conservative",1809,236292
"24873",2012,"New York",8,"Colin M. Beavan","green",2441,236292
"24874",2012,"New York",9,"Vivia M. Morgan","green",2991,238957
"24875",2012,"New York",9,"Daniel J. Cavanagh","republican",20899,238957
"24876",2012,"New York",9,"Yvette D. Clarke","working families",7973,238957
"24877",2012,"New York",9,"Daniel J. Cavanagh","conservative",3265,238957
"24878",2012,"New York",9,"Blank Vote/Void Vote/Scattering","",25661,238957
"24879",2012,"New York",9,"Yvette D. Clarke","democrat",178168,238957
"24880",2012,"New York",10,"Michael W. Chan","conservative",3871,236323
"24881",2012,"New York",10,"Blank Vote/Void Vote/Scattering","",32012,236323
"24882",2012,"New York",10,"Jerrold Nadler","working families",9092,236323
"24883",2012,"New York",10,"Michael W. Chan","republican",35440,236323
"24884",2012,"New York",10,"Jerrold Nadler","democrat",155908,236323
"24885",2012,"New York",11,"Blank Vote/Void Vote/Scattering","",17270,214755
"24886",2012,"New York",11,"Henry J. Bardel","green",1939,214755
"24887",2012,"New York",11,"Michael G. Grimm","conservative",12088,214755
"24888",2012,"New York",11,"Mark S. Murphy","working families",4710,214755
"24889",2012,"New York",11,"Michael G. Grimm","republican",91030,214755
"24890",2012,"New York",11,"Mark S. Murphy","democrat",87718,214755
"24891",2012,"New York",12,"Blank Vote/Void Vote/Scattering","",28140,268287
"24892",2012,"New York",12,"Carolyn B. Maloney","democrat",184864,268287
"24893",2012,"New York",12,"Carolyn B. Maloney","working families",8591,268287
"24894",2012,"New York",12,"Christopher R. Wight","conservative",2252,268287
"24895",2012,"New York",12,"Christopher R. Wight","republican",41969,268287
"24896",2012,"New York",12,"Christopher R. Wight","independence",2471,268287
"24897",2012,"New York",13,"Blank Vote/Void Vote/Scattering","",40718,233172
"24898",2012,"New York",13,"Craig Schley","republican",12132,233172
"24899",2012,"New York",13,"Deborah O. Liatos","socialist workers",5533,233172
"24900",2012,"New York",13,"Charles B. Rangel","working families",4319,233172
"24901",2012,"New York",13,"Charles B. Rangel","democrat",170470,233172
"24902",2012,"New York",14,"Joseph Crowley","working families",4644,170995
"24903",2012,"New York",14,"Blank Vote/Void Vote/Scattering","",25909,170995
"24904",2012,"New York",14,"Joseph Crowley","democrat",116117,170995
"24905",2012,"New York",14,"Anthony Gronowicz","green",2570,170995
"24906",2012,"New York",14,"William F. Gibbons","conservative",2564,170995
"24907",2012,"New York",14,"William F. Gibbons","republican",19191,170995
"24908",2012,"New York",15,"Jos_ E. Serrano","working families",2418,178645
"24909",2012,"New York",15,"Frank L. Della Valle","conservative",940,178645
"24910",2012,"New York",15,"Jos_ E. Serrano","democrat",150243,178645
"24911",2012,"New York",15,"Frank L. Della Valle","republican",3487,178645
"24912",2012,"New York",15,"Blank Vote/Void Vote/Scattering","",21557,178645
"24913",2012,"New York",16,"Eliot L. Engel","democrat",173885,270320
"24914",2012,"New York",16,"Eliot L. Engel","working families",5676,270320
"24915",2012,"New York",16,"Joseph Diaferia","green",2974,270320
"24916",2012,"New York",16,"Blank Vote/Void Vote/Scattering","",33850,270320
"24917",2012,"New York",16,"Joseph McLaughlin","republican",53935,270320
"24918",2012,"New York",17,"Francis E. Morganthaler","we the people",2771,297379
"24919",2012,"New York",17,"Nita M. Lowey","working families",9793,297379
"24920",2012,"New York",17,"Joe E. Carvin","republican",91899,297379
"24921",2012,"New York",17,"Blank Vote/Void Vote/Scattering","",31292,297379
"24922",2012,"New York",17,"Nita M. Lowey","democrat",161624,297379
"24923",2012,"New York",18,"Nan A. S. Hayworth","republican",113386,295436
"24924",2012,"New York",18,"Nan A. S. Hayworth","conservative",19663,295436
"24925",2012,"New York",18,"Sean Patrick Maloney","democrat",132456,295436
"24926",2012,"New York",18,"Sean Patrick Maloney","working families",11389,295436
"24927",2012,"New York",18,"Blank Vote/Void Vote/Scattering","",18542,295436
"24928",2012,"New York",19,"Julian Schreibman","working families",13265,305882
"24929",2012,"New York",19,"Christopher P. Gibson","independence",9509,305882
"24930",2012,"New York",19,"Blank Vote/Void Vote/Scattering","",22579,305882
"24931",2012,"New York",19,"Christopher P. Gibson","conservative",17573,305882
"24932",2012,"New York",19,"Christopher P. Gibson","republican",122654,305882
"24933",2012,"New York",19,"Julian Schreibman","democrat",120302,305882
"24934",2012,"New York",20,"Robert J. Dieterich","conservative",14676,317678
"24935",2012,"New York",20,"Blank Vote/Void Vote/Scattering","",20500,317678
"24936",2012,"New York",20,"Paul Tonko","independence",10291,317678
"24937",2012,"New York",20,"Paul Tonko","working families",12017,317678
"24938",2012,"New York",20,"Paul Tonko","democrat",181092,317678
"24939",2012,"New York",20,"Robert J. Dieterich","republican",79102,317678
"24940",2012,"New York",21,"Matthew A. Doheny","conservative",12877,268741
"24941",2012,"New York",21,"Blank Vote/Void Vote/Scattering","",16290,268741
"24942",2012,"New York",21,"Matthew A. Doheny","republican",104368,268741
"24943",2012,"New York",21,"William L. Owens","democrat",117856,268741
"24944",2012,"New York",21,"Donald L. Hassig","green",4174,268741
"24945",2012,"New York",21,"William L. Owens","working families",8775,268741
"24946",2012,"New York",21,"Matthew A. Doheny","independence",4401,268741
"24947",2012,"New York",22,"Richard L. Hanna","republican",145042,280189
"24948",2012,"New York",22,"Richard L. Hanna","independence",12899,280189
"24949",2012,"New York",22,"Blank Vote/Void Vote/Scattering","",20168,280189
"24950",2012,"New York",22,"Dan Lamb","democrat",102080,280189
"24951",2012,"New York",23,"Nate Shinagawa","democrat",114590,279796
"24952",2012,"New York",23,"Tom Reed","republican",117641,279796
"24953",2012,"New York",23,"Blank Vote/Void Vote/Scattering","",14592,279796
"24954",2012,"New York",23,"Nate Shinagawa","working families",12945,279796
"24955",2012,"New York",23,"Tom Reed","independence",5755,279796
"24956",2012,"New York",23,"Tom Reed","conservative",14273,279796
"24957",2012,"New York",24,"Ursula E. Rozum","green",22670,303567
"24958",2012,"New York",24,"Blank Vote/Void Vote/Scattering","",10799,303567
"24959",2012,"New York",24,"Ann Marie Buerkle","independence",4989,303567
"24960",2012,"New York",24,"Ann Marie Buerkle","republican",105584,303567
"24961",2012,"New York",24,"Daniel B. Maffei","working families",9136,303567
"24962",2012,"New York",24,"Ann Marie Buerkle","conservative",16481,303567
"24963",2012,"New York",24,"Daniel B. Maffei","democrat",133908,303567
"24964",2012,"New York",25,"Louise McIntosh Slaughter","working families",11049,322760
"24965",2012,"New York",25,"Blank Vote/Void Vote/Scattering","",9561,322760
"24966",2012,"New York",25,"Maggie Brooks","conservative",18543,322760
"24967",2012,"New York",25,"Louise McIntosh Slaughter","democrat",168761,322760
"24968",2012,"New York",25,"Maggie Brooks","independence",5554,322760
"24969",2012,"New York",25,"Maggie Brooks","republican",109292,322760
"24970",2012,"New York",26,"Brian Higgins","working families",17354,304961
"24971",2012,"New York",26,"Michael H. Madigan","independence",4055,304961
"24972",2012,"New York",26,"Michael H. Madigan","republican",57368,304961
"24973",2012,"New York",26,"Michael H. Madigan","conservative",10243,304961
"24974",2012,"New York",26,"Blank Vote/Void Vote/Scattering","",20707,304961
"24975",2012,"New York",26,"Brian Higgins","democrat",195234,304961
"24976",2012,"New York",27,"Kathleen C. Hochul","democrat",140008,329768
"24977",2012,"New York",27,"Blank Vote/Void Vote/Scattering","",12329,329768
"24978",2012,"New York",27,"Chris Collins","republican",137250,329768
"24979",2012,"New York",27,"Chris Collins","conservative",23970,329768
"24980",2012,"New York",27,"Kathleen C. Hochul","working families",16211,329768
"24981",2012,"North Carolina",1,"Darryl Holloman","libertarian",6134,338066
"24982",2012,"North Carolina",1,"G. K. Butterfield","democrat",254644,338066
"24983",2012,"North Carolina",1,"Pete DiLauro","republican",77288,338066
"24984",2012,"North Carolina",2,"Brian Irving","libertarian",8358,311397
"24985",2012,"North Carolina",2,"Renee L. Ellmers","republican",174066,311397
"24986",2012,"North Carolina",2,"Steve Wilkins","democrat",128973,311397
"24987",2012,"North Carolina",3,"Walter B. Jones","republican",195571,309885
"24988",2012,"North Carolina",3,"Erik Anderson","democrat",114314,309885
"24989",2012,"North Carolina",4,"Tim D?Annunzio","republican",88951,348485
"24990",2012,"North Carolina",4,"David E. Price","democrat",259534,348485
"24991",2012,"North Carolina",5,"Virginia Foxx","republican",200945,349197
"24992",2012,"North Carolina",5,"Elisabeth Motsinger","democrat",148252,349197
"24993",2012,"North Carolina",6,"Howard Coble","republican",222116,364583
"24994",2012,"North Carolina",6,"Tony Foriest","democrat",142467,364583
"24995",2012,"North Carolina",7,"Mike McIntyre","democrat",168695,336736
"24996",2012,"North Carolina",7,"David Rouzer","republican",168041,336736
"24997",2012,"North Carolina",8,"Larry Kissell","democrat",137139,302280
"24998",2012,"North Carolina",8,"Richard Hudson","republican",160695,302280
"24999",2012,"North Carolina",8,NA,NA,3990,302280
"25000",2012,"North Carolina",8,NA,NA,456,302280
"25001",2012,"North Carolina",9,"Robert Pittenger","republican",194537,375690
"25002",2012,"North Carolina",9,"Jennifer Roberts","democrat",171503,375690
"25003",2012,"North Carolina",9,"Curtis Campbell","libertarian",9650,375690
"25004",2012,"North Carolina",10,"Patsy Keever","democrat",144023,334849
"25005",2012,"North Carolina",10,"Patrick T. McHenry","republican",190826,334849
"25006",2012,"North Carolina",11,"Hayden Rogers","democrat",141107,331426
"25007",2012,"North Carolina",11,"Mark Meadows","republican",190319,331426
"25008",2012,"North Carolina",12,"Jack Brosch","republican",63317,310908
"25009",2012,"North Carolina",12,"Melvin L. Watt","democrat",247591,310908
"25010",2012,"North Carolina",13,"George Holding","republican",210495,370610
"25011",2012,"North Carolina",13,"Charles Malone","democrat",160115,370610
"25012",2012,"North Dakota",0,"Pam Gulleson","democratic-nonpartisan league",131870,316224
"25013",2012,"North Dakota",0,"Eric Olson","libertarian",10261,316224
"25014",2012,"North Dakota",0,NA,NA,508,316224
"25015",2012,"North Dakota",0,"Kevin Cramer","republican",173585,316224
"25016",2012,"Ohio",1,"Jim Berns","libertarian",9674,349716
"25017",2012,"Ohio",1,"Steve Chabot","republican",201907,349716
"25018",2012,"Ohio",1,"Rich Stevenson","green",6645,349716
"25019",2012,"Ohio",1,"Jeff Sinnard","democrat",131490,349716
"25020",2012,"Ohio",2,"Brad Wenstrup","republican",194296,331373
"25021",2012,"Ohio",2,"William R. Smith","democrat",137077,331373
"25022",2012,"Ohio",3,"Chris Long","republican",77901,295652
"25023",2012,"Ohio",3,"Bob Fitrakis","green",6387,295652
"25024",2012,"Ohio",3,"Joyce Beatty","democrat",201897,295652
"25025",2012,"Ohio",3,"Richard Ehrbar","libertarian",9462,295652
"25026",2012,"Ohio",3,NA,NA,5,295652
"25027",2012,"Ohio",4,"Chris Kalla","libertarian",16141,312998
"25028",2012,"Ohio",4,"Jim Slone","democrat",114214,312998
"25029",2012,"Ohio",4,"Jim Jordan","republican",182643,312998
"25030",2012,"Ohio",5,"Robert E. Latta","republican",201514,351878
"25031",2012,"Ohio",5,"Eric Eberly","libertarian",12558,351878
"25032",2012,"Ohio",5,"Angela Zimmann","democrat",137806,351878
"25033",2012,"Ohio",6,"Bill Johnson","republican",164536,308980
"25034",2012,"Ohio",6,"Charlie Wilson","democrat",144444,308980
"25035",2012,"Ohio",7,"Bob Gibbs","republican",178104,315812
"25036",2012,"Ohio",7,"Joyce R. Healy-Abrams","democrat",137708,315812
"25037",2012,"Ohio",8,NA,NA,1938,248316
"25038",2012,"Ohio",8,"John A. Boehner","republican",246378,248316
"25039",2012,"Ohio",9,"Marcy Kaptur","democrat",217771,298164
"25040",2012,"Ohio",9,"Samuel J. Wurzelbacher","republican",68668,298164
"25041",2012,"Ohio",9,"Sean P. Stipe","libertarian",11725,298164
"25042",2012,"Ohio",10,"David A. Harlow","libertarian",10373,349671
"25043",2012,"Ohio",10,"Michael R. Turner","republican",208201,349671
"25044",2012,"Ohio",10,"Sharen Swartz Neuhardt","democrat",131097,349671
"25045",2012,"Ohio",11,"Marcia L. Fudge","democrat",258359,258359
"25046",2012,"Ohio",12,"Jim Reese","democrat",134605,368474
"25047",2012,"Ohio",12,"Patrick J. Tiberi","republican",233869,368474
"25048",2012,"Ohio",13,"Tim Ryan","democrat",235492,323612
"25049",2012,"Ohio",13,"Marisha G. Agana","republican",88120,323612
"25050",2012,"Ohio",14,NA,NA,1,339894
"25051",2012,"Ohio",14,"Dale Virgil Blanchard","democrat",131637,339894
"25052",2012,"Ohio",14,"David Macko","libertarian",11536,339894
"25053",2012,"Ohio",14,"Elaine R. Mastromatteo","green",13038,339894
"25054",2012,"Ohio",14,NA,NA,5,339894
"25055",2012,"Ohio",14,"David P. Joyce","republican",183657,339894
"25056",2012,"Ohio",14,NA,NA,20,339894
"25057",2012,"Ohio",15,"Steve Stivers","republican",205274,333462
"25058",2012,"Ohio",15,"Pat Lang","democrat",128188,333462
"25059",2012,"Ohio",16,"Betty Sutton","democrat",170600,355765
"25060",2012,"Ohio",16,"James B. Renacci","republican",185165,355765
"25061",2012,"Oklahoma",1,"John Olson","democrat",91421,285312
"25062",2012,"Oklahoma",1,"Jim Bridenstine","republican",181084,285312
"25063",2012,"Oklahoma",1,"Craig Allen","independent",12807,285312
"25064",2012,"Oklahoma",2,"Rob Wallace","democrat",96081,250612
"25065",2012,"Oklahoma",2,"Markwayne Mullin","republican",143701,250612
"25066",2012,"Oklahoma",2,"Michael G. Fulks","independent",10830,250612
"25067",2012,"Oklahoma",3,"Timothy Ray Murray","democrat",53472,268003
"25068",2012,"Oklahoma",3,"William M. Sanders","independent",12787,268003
"25069",2012,"Oklahoma",3,"Frank D. Lucas","republican",201744,268003
"25070",2012,"Oklahoma",4,"R. J. Harris","independent",11745,260331
"25071",2012,"Oklahoma",4,"Donna Marie Bebo","democrat",71846,260331
"25072",2012,"Oklahoma",4,"Tom Cole","republican",176740,260331
"25073",2012,"Oklahoma",5,"Pat Martin","independent",5394,261677
"25074",2012,"Oklahoma",5,"James Lankford","republican",153603,261677
"25075",2012,"Oklahoma",5,"Tom Guild","democrat",97504,261677
"25076",2012,"Oklahoma",5,"Robert T. Murphy","independent",5176,261677
"25077",2012,"Oregon",1,"Bob Ekstrom","constitution",8918,331980
"25078",2012,"Oregon",1,"Delinda Morgan","republican",109699,331980
"25079",2012,"Oregon",1,"Suzanne Bonamici","democrat",197845,331980
"25080",2012,"Oregon",1,"Other","",509,331980
"25081",2012,"Oregon",1,"Steven Reynolds","progressive",15009,331980
"25082",2012,"Oregon",2,"Joyce B. Segers","democrat",96741,332255
"25083",2012,"Oregon",2,"Other","",446,332255
"25084",2012,"Oregon",2,"Joe Tabor","libertarian",7025,332255
"25085",2012,"Oregon",2,"Greg Walden","republican",228043,332255
"25086",2012,"Oregon",3,"Ronald Green","republican",70325,355875
"25087",2012,"Oregon",3,"Michael Cline","libertarian",6640,355875
"25088",2012,"Oregon",3,"Earl Blumenauer","democrat",264979,355875
"25089",2012,"Oregon",3,"Other","",772,355875
"25090",2012,"Oregon",3,"Woodrow Broadnax","pacific green",13159,355875
"25091",2012,"Oregon",4,"Peter A. DeFazio","democrat",212866,360088
"25092",2012,"Oregon",4,"Art Robinson","republican",140549,360088
"25093",2012,"Oregon",4,"Other","",468,360088
"25094",2012,"Oregon",4,"Chuck Huntting","libertarian",6205,360088
"25095",2012,"Oregon",5,"Christina Jean Lugo","pacific green",7516,327970
"25096",2012,"Oregon",5,"Other","",402,327970
"25097",2012,"Oregon",5,"Raymond Baldwin","constitution",3600,327970
"25098",2012,"Oregon",5,"Kurt Schrader","democrat",177229,327970
"25099",2012,"Oregon",5,"Fred Thompson","republican",139223,327970
"25100",2012,"Pennsylvania",1,"John Featherman","republican",41708,277102
