"","year","state","district","candidate","party","candidatevotes","totalvotes"
"25101",2012,"Pennsylvania",1,"Robert A. Brady","democrat",235394,277102
"25102",2012,"Pennsylvania",2,"James Foster","independent",4829,356386
"25103",2012,"Pennsylvania",2,"Robert Allen Mansfield, Jr.","republican",33381,356386
"25104",2012,"Pennsylvania",2,"Chaka Fattah","democrat",318176,356386
"25105",2012,"Pennsylvania",3,"Missa Eaton","democrat",123933,302514
"25106",2012,"Pennsylvania",3,"Mike Kelly","republican",165826,302514
"25107",2012,"Pennsylvania",3,"Steven Porter","independent",12755,302514
"25108",2012,"Pennsylvania",4,"Michael Bryant Koffenberger","libertarian",6210,303980
"25109",2012,"Pennsylvania",4,"Scott Perry","republican",181603,303980
"25110",2012,"Pennsylvania",4,"Wayne W. Wolff","independent",11524,303980
"25111",2012,"Pennsylvania",4,"Harry Perkinson","democrat",104643,303980
"25112",2012,"Pennsylvania",5,"Charles Dumas","democrat",104725,282465
"25113",2012,"Pennsylvania",5,"Glenn Thompson","republican",177740,282465
"25114",2012,"Pennsylvania",6,"Manan M. Trivedi","democrat",143803,335528
"25115",2012,"Pennsylvania",6,"Jim Gerlach","republican",191725,335528
"25116",2012,"Pennsylvania",7,"George Badey","democrat",143509,353451
"25117",2012,"Pennsylvania",7,"Patrick Meehan","republican",209942,353451
"25118",2012,"Pennsylvania",8,"Kathy Boockvar","democrat",152859,352238
"25119",2012,"Pennsylvania",8,"Michael G. Fitzpatrick","republican",199379,352238
"25120",2012,"Pennsylvania",9,"Bill Shuster","republican",169177,274305
"25121",2012,"Pennsylvania",9,"Karen Ramsburg","democrat",105128,274305
"25122",2012,"Pennsylvania",10,"Philip Scollo","democrat",94227,273790
"25123",2012,"Pennsylvania",10,"Tom Marino","republican",179563,273790
"25124",2012,"Pennsylvania",11,"Lou Barletta","republican",166967,285198
"25125",2012,"Pennsylvania",11,"Gene Stilp","democrat",118231,285198
"25126",2012,"Pennsylvania",12,"Mark S. Critz","democrat",163589,338941
"25127",2012,"Pennsylvania",12,"Keith J. Rothfus","republican",175352,338941
"25128",2012,"Pennsylvania",13,"Allyson Y. Schwartz","democrat",209901,303819
"25129",2012,"Pennsylvania",13,"Joseph James Rooney","republican",93918,303819
"25130",2012,"Pennsylvania",14,"Hans Lessmann","republican",75702,327634
"25131",2012,"Pennsylvania",14,"Michael F. Doyle","democrat",251932,327634
"25132",2012,"Pennsylvania",15,"Charles W. Dent","republican",168960,297724
"25133",2012,"Pennsylvania",15,"Rick Daugherty","democrat",128764,297724
"25134",2012,"Pennsylvania",16,"John A. Murphy","independent",12250,284781
"25135",2012,"Pennsylvania",16,"James F. Bednarski","bednarski for congress",5154,284781
"25136",2012,"Pennsylvania",16,"Joseph R. Pitts","republican",156192,284781
"25137",2012,"Pennsylvania",16,"Aryanna C. Strader","democrat",111185,284781
"25138",2012,"Pennsylvania",17,"Matthew A. Cartwright","democrat",161393,267601
"25139",2012,"Pennsylvania",17,"Laureen A. Cummings","republican",106208,267601
"25140",2012,"Pennsylvania",18,"Larry Maggi","democrat",122146,338873
"25141",2012,"Pennsylvania",18,"Tim Murphy","republican",216727,338873
"25142",2012,"Rhode Island",1,"Brendan P. Doherty","republican",83737,205115
"25143",2012,"Rhode Island",1,NA,NA,262,205115
"25144",2012,"Rhode Island",1,"David S. Vogel","independent",12504,205115
"25145",2012,"Rhode Island",1,"David N. Cicilline","democrat",108612,205115
"25146",2012,"Rhode Island",2,"Michael G. Riley","republican",78189,222660
"25147",2012,"Rhode Island",2,NA,NA,192,222660
"25148",2012,"Rhode Island",2,"James R. Langevin","democrat",124067,222660
"25149",2012,"Rhode Island",2,"Abel G. Collins","independent",20212,222660
"25150",2012,"South Carolina",1,"Bobbie G. Rose","democrat",98154,290013
"25151",2012,"South Carolina",1,"Keith Blandford","libertarian",6334,290013
"25152",2012,"South Carolina",1,"Bobbie G. Rose","working families",5403,290013
"25153",2012,"South Carolina",1,"Tim Scott","republican",179908,290013
"25154",2012,"South Carolina",1,NA,NA,214,290013
"25155",2012,"South Carolina",2,NA,NA,7602,203718
"25156",2012,"South Carolina",2,"Joe Wilson","republican",196116,203718
"25157",2012,"South Carolina",3,"Jeff Duncan","republican",169512,254763
"25158",2012,"South Carolina",3,"Brian Ryan B. Doyle","democrat",84735,254763
"25159",2012,"South Carolina",3,NA,NA,516,254763
"25160",2012,"South Carolina",4,"Jeff Sumerel","green",3390,266884
"25161",2012,"South Carolina",4,NA,NA,329,266884
"25162",2012,"South Carolina",4,"Deb Morrow","working families",5877,266884
"25163",2012,"South Carolina",4,"Trey Gowdy","republican",173201,266884
"25164",2012,"South Carolina",4,"Deb Morrow","democrat",84087,266884
"25165",2012,"South Carolina",5,"Mick Mulvaney","republican",154324,278003
"25166",2012,"South Carolina",5,"Joyce Knott","democrat",113904,278003
"25167",2012,"South Carolina",5,"Joyce Knott","working families",9539,278003
"25168",2012,"South Carolina",5,NA,NA,236,278003
"25169",2012,"South Carolina",6,"Nammu Y. Muhammad","green",12920,233615
"25170",2012,"South Carolina",6,"James E. Clyburn","democrat",218717,233615
"25171",2012,"South Carolina",6,NA,NA,1978,233615
"25172",2012,"South Carolina",7,"Gloria Bromell Tinubu","working families",7795,275738
"25173",2012,"South Carolina",7,NA,NA,281,275738
"25174",2012,"South Carolina",7,"Gloria Bromell Tinubu","democrat",114594,275738
"25175",2012,"South Carolina",7,"Tom Rice","republican",153068,275738
"25176",2012,"South Dakota",0,"Kristi L. Noem","republican",207640,361429
"25177",2012,"South Dakota",0,"Matt Varilek","democrat",153789,361429
"25178",2012,"Tennessee",1,"Alan Woodruff","democrat",47663,239672
"25179",2012,"Tennessee",1,"Michael D. Salyer","independent",2048,239672
"25180",2012,"Tennessee",1,"Robert N. Smith","green",2872,239672
"25181",2012,"Tennessee",1,"Karen Sherry Brackett","independent",4837,239672
"25182",2012,"Tennessee",1,"David P. Roe","republican",182252,239672
"25183",2012,"Tennessee",2,"Brandon Stewart","independent",2974,264505
"25184",2012,"Tennessee",2,"Norris Dryer","green",5733,264505
"25185",2012,"Tennessee",2,"John J. Duncan, Jr.","republican",196894,264505
"25186",2012,"Tennessee",2,"Troy Christopher Goodale","democrat",54522,264505
"25187",2012,"Tennessee",2,"Greg Samples","independent",4382,264505
"25188",2012,"Tennessee",3,"Mary M. Headrick","democrat",91094,256909
"25189",2012,"Tennessee",3,"Matthew Deniston","independent",7905,256909
"25190",2012,"Tennessee",3,NA,NA,18,256909
"25191",2012,"Tennessee",3,NA,NA,62,256909
"25192",2012,"Tennessee",3,"Charles J. """"Chuck"""" Fleischmann","republican",157830,256909
"25193",2012,"Tennessee",4,"Scott DesJarlais","republican",128568,230590
"25194",2012,"Tennessee",4,"Eric Stewart","democrat",102022,230590
"25195",2012,"Tennessee",5,"Brad Staats","republican",86240,263095
"25196",2012,"Tennessee",5,NA,NA,12,263095
"25197",2012,"Tennessee",5,"John Miglietta","green",5222,263095
"25198",2012,"Tennessee",5,"Jim Cooper","democrat",171621,263095
"25199",2012,"Tennessee",6,"Diane Black","republican",184383,241241
"25200",2012,"Tennessee",6,NA,NA,4,241241
"25201",2012,"Tennessee",6,NA,NA,455,241241
"25202",2012,"Tennessee",6,"Scott Beasley","independent",34766,241241
"25203",2012,"Tennessee",6,"Pat Riley","green",21633,241241
"25204",2012,"Tennessee",7,"Credo Amouzouvik","democrat",61679,257306
"25205",2012,"Tennessee",7,"Marsha Blackburn","republican",182730,257306
"25206",2012,"Tennessee",7,"Jack Arnold","independent",4256,257306
"25207",2012,"Tennessee",7,"Leonard D. """"Lenny"""" Ladner","independent",1261,257306
"25208",2012,"Tennessee",7,"Wm. Ryan Akin","independent",2740,257306
"25209",2012,"Tennessee",7,"Howard Switzer","green",4640,257306
"25210",2012,"Tennessee",8,"Stephen Lee Fincher","republican",190923,279422
"25211",2012,"Tennessee",8,"Timothy D. Dixon","democrat",79490,279422
"25212",2012,"Tennessee",8,"Mark J. Rawles","independent",2870,279422
"25213",2012,"Tennessee",8,"James Hart","independent",6139,279422
"25214",2012,"Tennessee",9,"Brian L. Saulsberry","independent",1448,250987
"25215",2012,"Tennessee",9,"George S. Flinn, Jr.","republican",59742,250987
"25216",2012,"Tennessee",9,NA,NA,2,250987
"25217",2012,"Tennessee",9,NA,NA,1,250987
"25218",2012,"Tennessee",9,"Steve Cohen","democrat",188422,250987
"25219",2012,"Tennessee",9,"Gregory M. Joiner","independent",1372,250987
"25220",2012,"Texas",1,"Louie Gohmert","republican",178322,249658
"25221",2012,"Texas",1,"Clark Patterson","libertarian",4114,249658
"25222",2012,"Texas",1,"Shirley J. McKellar","democrat",67222,249658
"25223",2012,"Texas",2,"Kenneth Duncan","libertarian",4140,246328
"25224",2012,"Texas",2,"Ted Poe","republican",159664,246328
"25225",2012,"Texas",2,"Jim Dougherty","democrat",80512,246328
"25226",2012,"Texas",2,"Mark A. Roberts","green",2012,246328
"25227",2012,"Texas",3,"Sam Johnson","republican",187180,187180
"25228",2012,"Texas",4,"Thomas Griffing","libertarian",7262,250343
"25229",2012,"Texas",4,"Fred Rostek","",188,250343
"25230",2012,"Texas",4,"VaLinda Hathcox","democrat",60214,250343
"25231",2012,"Texas",4,"Ralph M. Hall","republican",182679,250343
"25232",2012,"Texas",5,"Jeb Hensarling","republican",134091,208230
"25233",2012,"Texas",5,"Ken Ashby","libertarian",4961,208230
"25234",2012,"Texas",5,"Linda S. Mrosko","democrat",69178,208230
"25235",2012,"Texas",6,"Hugh Chauvin","libertarian",4847,249936
"25236",2012,"Texas",6,"Joe Barton","republican",145019,249936
"25237",2012,"Texas",6,"Kenneth Sanders","democrat",98053,249936
"25238",2012,"Texas",6,"Brandon Parmer","green",2017,249936
"25239",2012,"Texas",7,"James Cargas","democrat",85553,234837
"25240",2012,"Texas",7,"Drew Parks","libertarian",4669,234837
"25241",2012,"Texas",7,"Lance Findley","green",1822,234837
"25242",2012,"Texas",7,"John Abney Culberson","republican",142793,234837
"25243",2012,"Texas",8,"Roy Hall","libertarian",5958,251052
"25244",2012,"Texas",8,"Kevin Brady","republican",194043,251052
"25245",2012,"Texas",8,"Neil Burns","democrat",51051,251052
"25246",2012,"Texas",9,"Al Green","democrat",144075,183566
"25247",2012,"Texas",9,"Steve Mueller","republican",36139,183566
"25248",2012,"Texas",9,"John Wieder","libertarian",1609,183566
"25249",2012,"Texas",9,"Vanessa Foster","green",1743,183566
"25250",2012,"Texas",10,"Michael T. McCaul","republican",159783,264019
"25251",2012,"Texas",10,"Richard Priest","libertarian",8526,264019
"25252",2012,"Texas",10,"Tawana W. Cadien","democrat",95710,264019
"25253",2012,"Texas",11,"Jim Riley","democrat",41970,226023
"25254",2012,"Texas",11,"Scott J. Ballard","libertarian",6311,226023
"25255",2012,"Texas",11,"K. Michael Conaway","republican",177742,226023
"25256",2012,"Texas",12,"Matthew Solodow","libertarian",5983,247712
"25257",2012,"Texas",12,"Dave Robinson","democrat",66080,247712
"25258",2012,"Texas",12,"Kay Granger","republican",175649,247712
"25259",2012,"Texas",13,"Keith F. Houston","green",5912,206388
"25260",2012,"Texas",13,"Mac Thornberry","republican",187775,206388
"25261",2012,"Texas",13,"John Robert Deek","libertarian",12701,206388
"25262",2012,"Texas",14,"Nick Lampson","democrat",109697,245839
"25263",2012,"Texas",14,"Rhett Rosenquest Smith","green",1063,245839
"25264",2012,"Texas",14,"Zach Grady","libertarian",3619,245839
"25265",2012,"Texas",14,"Randy Weber","republican",131460,245839
"25266",2012,"Texas",15,"Ron Finch","libertarian",3309,146661
"25267",2012,"Texas",15,"Dale A. Brueggemann","republican",54056,146661
"25268",2012,"Texas",15,"Rub_n Hinojosa","democrat",89296,146661
"25269",2012,"Texas",16,"Barbara Carrasco","republican",51043,155005
"25270",2012,"Texas",16,"Beto O'Rourke","democrat",101403,155005
"25271",2012,"Texas",16,"Junart Sodoy","libertarian",2559,155005
"25272",2012,"Texas",17,"Ben Easton","libertarian",35978,179262
"25273",2012,"Texas",17,"Bill Flores","republican",143284,179262
"25274",2012,"Texas",18,"Sheila Jackson Lee","democrat",146223,194932
"25275",2012,"Texas",18,"Christopher Barber","libertarian",4694,194932
"25276",2012,"Texas",18,"Sean Seibert","republican",44015,194932
"25277",2012,"Texas",19,"Richard """"Chip"""" Peterson","libertarian",28824,192063
"25278",2012,"Texas",19,"Randy Neugebauer","republican",163239,192063
"25279",2012,"Texas",20,"David Rosa","republican",62376,186177
"25280",2012,"Texas",20,"Antonio Diaz","green",1626,186177
"25281",2012,"Texas",20,"A. E. """"Tracy"""" Potts","libertarian",3143,186177
"25282",2012,"Texas",20,"Joaquin Castro","democrat",119032,186177
"25283",2012,"Texas",21,"Lamar Smith","republican",187015,308865
"25284",2012,"Texas",21,"Candace E. Duval","democrat",109326,308865
"25285",2012,"Texas",21,"John-Henry Liberty","libertarian",12524,308865
"25286",2012,"Texas",22,"Don Cook","green",4054,250911
"25287",2012,"Texas",22,"Pete Olson","republican",160668,250911
"25288",2012,"Texas",22,"Steven Susman","libertarian",5986,250911
"25289",2012,"Texas",22,"Kesha Rogers","democrat",80203,250911
"25290",2012,"Texas",23,"Pete P. Gallego","democrat",96676,192169
"25291",2012,"Texas",23,"Francisco """"Quico"""" Canseco","republican",87547,192169
"25292",2012,"Texas",23,"Ed Scharf","green",2105,192169
"25293",2012,"Texas",23,"Jeffrey C. Blunt","libertarian",5841,192169
"25294",2012,"Texas",24,"John Stathas","libertarian",7258,243489
"25295",2012,"Texas",24,"Kenny Marchant","republican",148586,243489
"25296",2012,"Texas",24,"Tim Rusk","democrat",87645,243489
"25297",2012,"Texas",25,"Roger Williams","republican",154245,263932
"25298",2012,"Texas",25,"Elaine M. Henderson","democrat",98827,263932
"25299",2012,"Texas",25,"Betsy Dewey","libertarian",10860,263932
"25300",2012,"Texas",26,"Mark Boler","libertarian",7844,258723
"25301",2012,"Texas",26,"Michael C. Burgess","republican",176642,258723
"25302",2012,"Texas",26,"David Sanchez","democrat",74237,258723
"25303",2012,"Texas",27,"Bret Baldwin","independent",5354,212651
"25304",2012,"Texas",27,"Blake Farenthold","republican",120684,212651
"25305",2012,"Texas",27,"Corrie Byrd","libertarian",3218,212651
"25306",2012,"Texas",27,"Rose Meza Harrison","democrat",83395,212651
"25307",2012,"Texas",28,"William R. Hayward","republican",49309,165645
"25308",2012,"Texas",28,"Patrick Hisel","libertarian",2473,165645
"25309",2012,"Texas",28,"Henry Cuellar","democrat",112456,165645
"25310",2012,"Texas",28,"Michael D. Cary","green",1407,165645
"25311",2012,"Texas",29,"James Stanczak","libertarian",4996,95611
"25312",2012,"Texas",29,"Maria Selva","green",4562,95611
"25313",2012,"Texas",29,"Gene Green","democrat",86053,95611
"25314",2012,"Texas",30,"Ed Rankin","libertarian",4733,217014
"25315",2012,"Texas",30,"Eddie Bernice Johnson","democrat",171059,217014
"25316",2012,"Texas",30,"Travis Washington, Jr.","republican",41222,217014
"25317",2012,"Texas",31,"John R. Carter","republican",145348,237187
"25318",2012,"Texas",31,"Ethan Garofolo","libertarian",8862,237187
"25319",2012,"Texas",31,"Stephen M. Wyman","democrat",82977,237187
"25320",2012,"Texas",32,"Pete Sessions","republican",146653,251636
"25321",2012,"Texas",32,"Katherine Savers McGovern","democrat",99288,251636
"25322",2012,"Texas",32,"Seth Hollist","libertarian",5695,251636
"25323",2012,"Texas",33,"Chuck Bradley","republican",30252,117375
"25324",2012,"Texas",33,"Ed Lindsay","green",2009,117375
"25325",2012,"Texas",33,"Marc Veasey","democrat",85114,117375
"25326",2012,"Texas",34,"Filemon Vela","democrat",89606,144778
"25327",2012,"Texas",34,"Steven """"Ziggy"""" Shanklin","libertarian",2724,144778
"25328",2012,"Texas",34,"Jessica Puente Bradshaw","republican",52448,144778
"25329",2012,"Texas",35,"Ross Lynn Leone","libertarian",4082,165179
"25330",2012,"Texas",35,NA,NA,37,165179
"25331",2012,"Texas",35,"Meghan Owen","green",2540,165179
"25332",2012,"Texas",35,"Lloyd Doggett","democrat",105626,165179
"25333",2012,"Texas",35,"Susan Narvaiz","republican",52894,165179
"25334",2012,"Texas",36,"Steve Stockman","republican",165405,233832
"25335",2012,"Texas",36,"Michael K. Cole","libertarian",6284,233832
"25336",2012,"Texas",36,"Max Martin","democrat",62143,233832
"25337",2012,"Utah",1,"Rob Bishop","republican",175487,245528
"25338",2012,"Utah",1,"Donna M. McAleer","democrat",60611,245528
"25339",2012,"Utah",1,"Sherry Phipps","constitution",9430,245528
"25340",2012,"Utah",2,"Jay Seegmiller","democrat",83176,248545
"25341",2012,"Utah",2,"Chris Stewart","republican",154523,248545
"25342",2012,"Utah",2,"Jonathan D. Garrard","constitution",5051,248545
"25343",2012,"Utah",2,"Charles E. Kimball","none",2824,248545
"25344",2012,"Utah",2,"Joseph Andrade","none",2971,248545
"25345",2012,"Utah",3,"Soren D. Simonsen","democrat",60719,259547
"25346",2012,"Utah",3,"Jason Chaffetz","republican",198828,259547
"25347",2012,"Utah",4,"Jim Matheson","democrat",119803,245277
"25348",2012,"Utah",4,"Jim L. Vein","libertarian",6439,245277
"25349",2012,"Utah",4,"Mia B. Love","republican",119035,245277
"25350",2012,"Vermont",0,"Jane Newton","liberty union",4065,289931
"25351",2012,"Vermont",0,NA,NA,268,289931
"25352",2012,"Vermont",0,"Mark Donka","republican",67543,289931
"25353",2012,"Vermont",0,"Andre Laframboise","votekiss",1153,289931
"25354",2012,"Vermont",0,"James """"Sam"""" Desrochers","independent",8302,289931
"25355",2012,"Vermont",0,"Peter Welch","democrat",208600,289931
"25356",2012,"Virginia",1,"Robert J. Wittman","republican",200845,356806
"25357",2012,"Virginia",1,NA,NA,617,356806
"25358",2012,"Virginia",1,"G. Gail Parker","independent green",8308,356806
"25359",2012,"Virginia",1,"Adam M. Cook","democrat",147036,356806
"25360",2012,"Virginia",2,"E. Scott Rigell","republican",166231,309222
"25361",2012,"Virginia",2,NA,NA,443,309222
"25362",2012,"Virginia",2,"Paul O. Hirschbiel, Jr.","democrat",142548,309222
"25363",2012,"Virginia",3,NA,NA,806,318936
"25364",2012,"Virginia",3,"Dean J. Longo","republican",58931,318936
"25365",2012,"Virginia",3,"Robert C. """"Bobby"""" Scott","democrat",259199,318936
"25366",2012,"Virginia",4,NA,NA,564,350046
"25367",2012,"Virginia",4,"J. Randy Forbes","republican",199292,350046
"25368",2012,"Virginia",4,"Ella P. Ward","democrat",150190,350046
"25369",2012,"Virginia",5,"John Wade Douglass","democrat",149214,348111
"25370",2012,"Virginia",5,"Robert Hurt","republican",193009,348111
"25371",2012,"Virginia",5,"Kenneth J. Hildebrandt","independent green",5500,348111
"25372",2012,"Virginia",5,NA,NA,388,348111
"25373",2012,"Virginia",6,"Andy B. Schmookler","democrat",111949,323893
"25374",2012,"Virginia",6,NA,NA,666,323893
"25375",2012,"Virginia",6,"Bob Goodlatte","republican",211278,323893
"25376",2012,"Virginia",7,"E. Wayne Powell","democrat",158012,381909
"25377",2012,"Virginia",7,"Eric Cantor","republican",222983,381909
"25378",2012,"Virginia",7,NA,NA,914,381909
"25379",2012,"Virginia",8,"Janet Murphy","independent green",5985,351187
"25380",2012,"Virginia",8,"James P. Moran","democrat",226847,351187
"25381",2012,"Virginia",8,"Jason J. Howell","independent",10180,351187
"25382",2012,"Virginia",8,NA,NA,805,351187
"25383",2012,"Virginia",8,"J. Patrick Murray","republican",107370,351187
"25384",2012,"Virginia",9,"H. Morgan Griffith","republican",184882,301658
"25385",2012,"Virginia",9,NA,NA,376,301658
"25386",2012,"Virginia",9,"Anthony J. Flaccavento","democrat",116400,301658
"25387",2012,"Virginia",10,"Frank R. Wolf","republican",214038,366444
"25388",2012,"Virginia",10,"J. Kevin Chisholm","independent",9855,366444
"25389",2012,"Virginia",10,NA,NA,527,366444
"25390",2012,"Virginia",10,"Kristin A. Cabral","democrat",142024,366444
"25391",2012,"Virginia",11,"Gerald E. Connolly","democrat",202606,332243
"25392",2012,"Virginia",11,NA,NA,788,332243
"25393",2012,"Virginia",11,"Christopher F. DeCarlo","independent",3027,332243
"25394",2012,"Virginia",11,"Mark T. Gibson","independent",3806,332243
"25395",2012,"Virginia",11,"Chris S. Perkins","republican",117902,332243
"25396",2012,"Virginia",11,"Peter M. Marchetti","independent green",1919,332243
"25397",2012,"Virginia",11,"Joe F. Galdo, Jr.","green",2195,332243
"25398",2012,"Washington",1,"John Koster","republican",151187,328212
"25399",2012,"Washington",1,"Suzan DelBene","democrat",177025,328212
"25400",2012,"Washington",2,"Dan Matthews","republican",117465,302291
"25401",2012,"Washington",2,"Rick Larsen","democrat",184826,302291
"25402",2012,"Washington",3,"Jon T. Haugen","democrat",116438,293884
"25403",2012,"Washington",3,"Jaime Herrera Beutler","republican",177446,293884
"25404",2012,"Washington",4,"Doc Hastings","republican",154749,233689
"25405",2012,"Washington",4,"Mary Baechler","democrat",78940,233689
"25406",2012,"Washington",5,"Rich Cowan","democrat",117512,308578
"25407",2012,"Washington",5,"Cathy McMorris Rodgers","republican",191066,308578
"25408",2012,"Washington",6,"Derek Kilmer","democrat",186661,316386
"25409",2012,"Washington",6,"Bill Driscoll","republican",129725,316386
"25410",2012,"Washington",7,"Jim McDermott","democrat",298368,374580
"25411",2012,"Washington",7,"Ron Bemis","republican",76212,374580
"25412",2012,"Washington",8,"Karen Porterfield","democrat",121886,302090
"25413",2012,"Washington",8,"David G. Reichert","republican",180204,302090
"25414",2012,"Washington",9,"Adam Smith","democrat",192034,268139
"25415",2012,"Washington",9,"Jim Postma","republican",76105,268139
"25416",2012,"Washington",10,"Richard """"Dick"""" Muri","republican",115381,278417
"25417",2012,"Washington",10,"Denny Heck","democrat",163036,278417
"25418",2012,"West Virginia",1,"David B. McKinley","republican",133809,214151
"25419",2012,"West Virginia",1,"Sue Thorn","democrat",80342,214151
"25420",2012,"West Virginia",2,"Shelley Moore Capito","republican",158206,226766
"25421",2012,"West Virginia",2,"Howard Swint","democrat",68560,226766
"25422",2012,"West Virginia",3,"Nick J. Rahall II","democrat",108199,200437
"25423",2012,"West Virginia",3,"Rick Snuffer","republican",92238,200437
"25424",2012,"Wisconsin",1,"Rob Zerban","democrat",158414,365058
"25425",2012,"Wisconsin",1,"Paul Ryan","republican",200423,365058
"25426",2012,"Wisconsin",1,"scatter","",167,365058
"25427",2012,"Wisconsin",1,"Keith Deschler","libertarian",6054,365058
"25428",2012,"Wisconsin",2,"Mark Pocan","democrat",265422,390898
"25429",2012,"Wisconsin",2,"Chad Lee","republican",124683,390898
"25430",2012,"Wisconsin",2,"scatter","",787,390898
"25431",2012,"Wisconsin",2,NA,NA,6,390898
"25432",2012,"Wisconsin",3,"Ron Kind","democrat",217712,339764
"25433",2012,"Wisconsin",3,"Ray Boland","republican",121713,339764
"25434",2012,"Wisconsin",3,"scatter","",339,339764
"25435",2012,"Wisconsin",4,"Robert R. Raymond","independent",9277,325788
"25436",2012,"Wisconsin",4,"Dan Sebring","republican",80787,325788
"25437",2012,"Wisconsin",4,"Gwen Moore","democrat",235257,325788
"25438",2012,"Wisconsin",4,"scatter","",467,325788
"25439",2012,"Wisconsin",5,"Dave Heaster","democrat",118478,369664
"25440",2012,"Wisconsin",5,"scatter","",851,369664
"25441",2012,"Wisconsin",5,"F. James Sensenbrenner, Jr.","republican",250335,369664
"25442",2012,"Wisconsin",6,"Thomas E. Petri","republican",223460,359745
"25443",2012,"Wisconsin",6,"Joe Kallas","democrat",135921,359745
"25444",2012,"Wisconsin",6,"scatter","",364,359745
"25445",2012,"Wisconsin",7,"scatter","",405,359669
"25446",2012,"Wisconsin",7,"Sean P. Duffy","republican",201720,359669
"25447",2012,"Wisconsin",7,"Pat Kreitlow","democrat",157524,359669
"25448",2012,"Wisconsin",7,NA,NA,20,359669
"25449",2012,"Wisconsin",8,"Reid J. Ribble","republican",198874,355464
"25450",2012,"Wisconsin",8,"Jamie Wall","democrat",156287,355464
"25451",2012,"Wisconsin",8,"scatter","",303,355464
"25452",2012,"Wyoming",0,"Don Wills","country party",3775,250700
"25453",2012,"Wyoming",0,"Daniel Clyde Cummings","constitution",4963,250700
"25454",2012,"Wyoming",0,"Richard P. Brubaker","libertarian",8442,250700
"25455",2012,"Wyoming",0,"Chris Henrichsen","democrat",57573,250700
"25456",2012,"Wyoming",0,"Cynthia M. Lummis","republican",166452,250700
"25457",2012,"Wyoming",0,NA,NA,416,250700
"25458",2012,"Wyoming",0,"Over Vote","",600,250700
"25459",2012,"Wyoming",0,"Blank Vote","",8479,250700
"29578",2012,"Connecticut",3,NA,NA,1,291301
"29579",2012,"Connecticut",3,"Rosa L. DeLauro","working families",20410,291301
"29580",2012,"Connecticut",3,"Wayne Winsley","republican",73726,291301
"29581",2012,"Connecticut",3,"Rosa L. DeLauro","democrat",197163,291301
